Country,Gender,population,Income,incomepc,Age,Education,pc,Videogames,Piano,Teamsport,gym,Restaurant,Charity,Ecommerce,Information,taste,segments
FR,1,3500,34995.00000000001,17497.500000000004,64,Bac+2/Bac+3,2,1,0,0,0,1,0,1,"Oui, partiellement",5,2
FR,0,1000,10000.0,3333.3333333333335,45,Bac,3,0,0,0,0,0,0,1,"Non, pas du tout",5,2
FR,1,3500,74999.5,37499.75,80,Bac+5,2,0,0,0,0,1,0,1,"Oui, tout à fait",10,1
FR,0,75000,24999.5,12499.75,34,Bac,2,1,0,0,0,1,0,1,"Oui, partiellement",0,3
FR,1,75000,24999.5,24999.5,22,Bac+2/Bac+3,1,1,0,1,1,1,0,1,"Oui, tout à fait",5,3
FR,0,3500,10000.0,10000.0,57,Bac,1,1,0,0,0,1,0,0,"Oui, tout à fait",0,2
FR,0,3500,24999.5,24999.5,54,Collège,1,0,0,0,0,1,0,1,"Oui, partiellement",0,2
FR,1,75000,34995.00000000001,11665.000000000002,54,Bac,3,1,0,1,0,1,0,1,"Oui, tout à fait",5,3
FR,1,3500,34995.00000000001,11665.000000000002,53,Bac,3,0,0,0,0,1,0,1,"Oui, tout à fait",5,2
FR,1,7500,34995.00000000001,17497.500000000004,65,Bac,2,0,0,0,1,1,0,1,"Non, pas du tout",0,2
FR,1,30000,34995.00000000001,11665.000000000002,54,Bac+2/Bac+3,3,1,0,0,0,1,0,1,"Oui, partiellement",0,3
FR,0,30000,24999.5,4999.9,42,Bac,5,0,0,0,0,0,0,1,"Non, pas du tout",0,3
FR,0,30000,24999.5,24999.5,58,Bac+2/Bac+3,1,0,0,0,0,1,0,1,"Oui, partiellement",0,2
UK,1,1000,24999.5,12499.75,64,Bac,2,0,0,0,0,1,0,1,"Oui, partiellement",0,2
FR,1,75000,34995.00000000001,11665.000000000002,67,Bac+2/Bac+3,3,0,0,0,0,1,0,1,"Oui, partiellement",10,2
UK,0,7500,10000.0,3333.3333333333335,50,Bac+2/Bac+3,3,1,0,0,0,1,0,1,"Oui, tout à fait",0,3
FR,1,30000,34995.00000000001,17497.500000000004,57,Bac,2,0,0,0,0,1,0,1,"Oui, partiellement",5,2
FR,0,30000,34995.00000000001,11665.000000000002,45,Bac,3,1,0,0,0,0,0,1,"Oui, partiellement",5,3
FR,0,3500,24999.5,12499.75,19,Bac,2,0,0,0,0,0,0,0,"Oui, tout à fait",5,3
